   1.9595141700404868e+00	   1.0612244897959185e+01	
   2.8340080971659920e+00	   1.5102040816326523e+01	
   3.8866396761133610e+00	   2.0136054421768709e+01	
   4.9068825910931189e+00	   2.3129251700680275e+01	
   6.2348178137651820e+00	   2.5782312925170068e+01	
   7.3846153846153859e+00	   2.7210884353741495e+01	
   8.3724696356275317e+00	   2.8639455782312925e+01	
   9.1983805668016192e+00	   3.0272108843537410e+01	
   1.0121457489878543e+01	   3.2312925170068027e+01	
   1.0834008097165992e+01	   3.4285714285714285e+01	
   1.1951417004048581e+01	   3.7074829931972786e+01	
