   1.4304993252361676e-03	   1.3042735042735043e+01	
   1.9433198380566809e-03	   1.9982905982905983e+01	
   2.4966261808367081e-03	   2.5606837606837615e+01	
   3.0229419703103923e-03	   2.8957264957264965e+01	
   3.6167341430499334e-03	   3.1829059829059837e+01	
   4.3859649122807015e-03	   3.4940170940170944e+01	
   5.5330634278002704e-03	   3.9487179487179496e+01	
   6.3292847503373826e-03	   4.2478632478632484e+01	
   7.1255060728744957e-03	   4.5111111111111121e+01	
   8.0836707152496627e-03	   4.8102564102564102e+01	
   8.5964912280701751e-03	   4.9538461538461547e+01	
